year,numCandidates,africanAmerican,female,hs_pct,poverty,unemp,voter_turnout
1999,2,1,0,0.29,0.36,0.13,73.07
2007,3,1,0,0.29,0.36,0.13,52.41
2011,3,1,1,0.29,0.36,0.13,54.75
1991,2,0,0,0.33,0.2,0.07,80.31
2007,2,0,0,0.33,0.2,0.07,60.22
1990,2,0,0,0.34,0.16,0.04,74.7
1998,4,0,0,0.34,0.16,0.04,57.94
2002,3,0,0,0.34,0.16,0.04,60.69
2006,3,0,0,0.34,0.16,0.04,50.84
2010,3,0,1,0.34,0.16,0.04,56.15
2001,2,0,0,0.31,0.33,0.13,40.87
2003,3,0,1,0.31,0.33,0.13,51.57
2005,2,0,1,0.31,0.33,0.13,28.39
2009,4,0,0,0.31,0.33,0.13,34.24
1990,2,1,0,0.24,0.44,0.16,80.91
1994,2,0,0,0.24,0.44,0.16,61.72
1998,4,1,0,0.24,0.44,0.16,64.88
2002,5,1,0,0.24,0.44,0.16,59.88
2006,4,1,0,0.24,0.44,0.16,59.84
2010,2,1,0,0.24,0.44,0.16,53.89
1994,4,0,0,0.26,0.32,0.1,65.37
1998,3,0,1,0.26,0.32,0.1,62.21
2002,3,0,0,0.26,0.32,0.1,57.9
2006,3,0,1,0.26,0.32,0.1,55.02
2010,2,0,0,0.26,0.32,0.1,35.84
1994,2,0,0,0.31,0.28,0.21,50.79
2002,2,0,0,0.31,0.28,0.21,44.34
2004,3,0,0,0.25,0.14,0.07,41.67
2006,5,1,1,0.25,0.14,0.07,43.74
2010,2,0,0,0.25,0.14,0.07,34.64
1990,2,0,1,0.28,0.48,0.17,76.11
1994,2,0,1,0.28,0.48,0.17,70.55
1998,3,1,1,0.28,0.48,0.17,50.46
2002,2,1,0,0.28,0.48,0.17,54.04
2006,3,1,0,0.28,0.48,0.17,41
2010,2,1,0,0.28,0.48,0.17,46.1
1995,2,0,1,0.35,0.21,0.07,57.88
1998,2,0,0,0.35,0.21,0.07,33.18
1992,2,0,0,0.31,0.21,0.12,48.57
1997,2,0,0,0.31,0.21,0.12,51.51
2001,3,0,1,0.31,0.21,0.12,50.68
2005,2,0,1,0.31,0.21,0.12,43.73
2009,2,0,1,0.31,0.21,0.12,40.12
2005,2,0,0,0.31,0.33,0.09,34.62
2006,2,0,0,0.31,0.33,0.09,55.82
2010,2,0,0,0.31,0.33,0.09,56.46
1990,2,0,0,0.3,0.33,0.12,78.95
1994,2,0,0,0.3,0.33,0.12,84.4
2010,2,0,0,0.3,0.33,0.12,74.11
1992,4,0,1,0.19,0.22,0.09,52.29
1999,2,0,0,0.19,0.22,0.09,51.93
2003,5,1,0,0.19,0.22,0.09,51.65
2011,2,0,0,0.19,0.22,0.09,35.41
1990,3,0,0,0.31,0.32,0.12,72.58
1994,2,0,0,0.31,0.32,0.12,71.36
2002,2,0,0,0.31,0.32,0.12,43.47
2010,2,0,0,0.31,0.32,0.12,48.22
1993,4,1,1,0.24,0.24,0.11,51.17
2000,4,1,1,0.24,0.24,0.11,39.99
2005,2,1,1,0.24,0.24,0.11,25.92
2009,2,0,0,0.24,0.24,0.11,27.89
1994,5,1,0,0.19,0.64,0.32,62.98
1998,6,1,0,0.19,0.64,0.32,57.26
2002,2,1,0,0.19,0.64,0.32,50.32
2010,4,1,0,0.19,0.64,0.32,58.05
1990,2,1,1,0.22,0.4,0.14,72.38
1994,2,1,1,0.22,0.4,0.14,72.51
1998,2,1,1,0.22,0.4,0.14,67.5
2002,2,1,1,0.22,0.4,0.14,42.48
2006,3,1,0,0.22,0.4,0.14,57.23
2007,4,1,0,0.22,0.4,0.14,59.35
2010,2,1,0,0.22,0.4,0.14,45.42
2002,3,1,0,0.27,0.22,0.1,40.98
2006,3,1,1,0.27,0.22,0.1,42.86
2010,4,1,1,0.27,0.22,0.1,35.88
1998,5,1,0,0.31,0.32,0.13,66.58
2002,4,1,0,0.31,0.32,0.13,52.79
2006,3,1,0,0.31,0.32,0.13,40.53
2010,2,1,0,0.31,0.32,0.13,42.12
1998,2,1,0,0.37,0.3,0.15,66.72
2002,3,1,0,0.37,0.3,0.15,71.55
2010,3,1,0,0.37,0.3,0.15,65.67
2000,2,0,1,0.4,0.26,0.03,67.3
2008,2,0,0,0.31,0.15,0.16,60.93
1992,2,0,0,0.36,0.22,0.08,83.63
2000,2,0,1,0.36,0.22,0.08,58.99
2008,2,0,0,0.36,0.22,0.08,31.14
1996,1,0,0,0.41,0.16,0.06,81.72
2000,3,0,0,0.41,0.16,0.06,74.1
2004,3,0,0,0.41,0.16,0.06,19.73
1992,3,0,0,0.31,0.18,0.1,67.83
1995,6,0,0,0.31,0.18,0.1,64.21
1996,2,0,0,0.31,0.18,0.1,69.28
2004,2,0,1,0.31,0.18,0.1,59.17
1992,2,0,0,0.3,0.23,0.11,68.55
2000,2,0,0,0.3,0.23,0.11,57.49
2004,2,1,0,0.28,0.49,0.18,41.64
1990,4,1,0,0.32,0.28,0.05,86.07
1994,2,0,0,0.32,0.28,0.05,71.83
1998,2,0,0,0.32,0.28,0.05,65.93
2002,2,0,0,0.32,0.28,0.05,71.09
2006,3,1,0,0.32,0.28,0.05,65.52
2010,2,1,1,0.32,0.28,0.05,54.88
1990,2,0,0,0.25,0.3,0,70.66
1994,2,0,0,0.25,0.3,0,75.46
1996,3,0,0,0.31,0.22,0.09,76.04
1990,2,0,0,0.21,0.38,0.12,75.64
1994,3,0,1,0.21,0.38,0.12,75.99
1998,2,0,0,0.21,0.38,0.12,63
2002,4,0,0,0.21,0.38,0.12,59.92
2004,3,0,1,0.21,0.38,0.12,58.05
2006,3,0,1,0.21,0.38,0.12,48.46
2010,3,1,1,0.21,0.38,0.12,38.77
